"label","value"
"iPhone17,1",1297 人
"iPhone16,1",1189 人
"iPhone17,2",1068 人
"iPhone16,2",986 人
"iPhone15,2",675 人
"iPhone14,5",572 人
"iPhone15,4",522 人
"iPhone15,3",518 人
"iPhone14,2",434 人
"iPhone14,7",428 人
"iPhone18,1",390 人
"iPhone17,3",340 人
"iPhone18,2",339 人
"iPhone14,3",323 人
SM-S928B,320 人
"iPhone13,2",304 人
"iPhone12,1",282 人
SM-S938B,251 人
"iPhone13,3",251 人
SM-S918B,197 人
SM-S921B,189 人
"iPhone13,4",189 人
"iPhone14,4",168 人
SM-S911B,144 人
"iPhone13,1",137 人
"iPhone12,3",111 人
"iPhone14,8",110 人
SM-S901B,109 人
SM-A546B,104 人
SM-S908B,98 人
SM-A556B,98 人
SM-G991B,94 人
"iPhone15,5",91 人
SM-S926B,90 人
"iPhone12,8",89 人
SM-S931B,82 人
"iPhone17,5",82 人
"iPhone12,5",80 人
"iPhone11,8",79 人
"iPhone14,6",78 人
SM-A536B,78 人
SM-A528B,70 人
SM-S916B,69 人
SM-F956B,68 人
SM-G998B,66 人
Pixel 8 Pro,65 人
"iPhone17,4",64 人
SM-F966B,63 人
SM-G781B,62 人
SM-F741B,60 人
SM-A346B,55 人
"iPhone18,4",54 人
SM-S936B,47 人
SM-F731B,44 人
SM-S721B,42 人
SM-G990B2,40 人
SM-F936B,39 人
Pixel 9 Pro,39 人
"iPhone18,3",36 人
"iPhone11,2",35 人
Pixel 9 Pro XL,35 人
SM-A566B,33 人
SM-G996B,33 人
SM-F946B,31 人
SM-S711B,31 人
"iPhone11,6",31 人
23090RA98G,30 人
SM-A356B,29 人
Pixel 7,29 人
SM-S906B,29 人
Pixel 8,29 人
2407FPN8EG,28 人
SM-F766B,28 人
SM-G973F,28 人
SM-G990B,27 人
SM-A515F,27 人
SM-A256B,27 人
Pixel 7a,26 人
SM-F721B,26 人
2312DRA50G,25 人
SM-G975F,24 人
Pixel 9,24 人
VOG-L29,24 人
SM-G780G,24 人
SM-A525F,23 人
SM-A336B,23 人
SM-G980F,23 人
"iPhone10,6",23 人
SM-G780F,23 人
2201116SG,23 人
Pixel 7 Pro,22 人
"iPad13,18",22 人
Pixel 8a,22 人
SM-A236B,21 人
"iPhone10,5",20 人
"iPad12,1",20 人
23078PND5G,19 人
"iPhone10,4",19 人
SM-A715F,18 人
SM-F711B,18 人
Pixel 6,18 人
SM-G988B,17 人
"iPhone9,3",17 人
"iPad16,5",16 人
SM-G981B,16 人
23117RA68G,16 人
SM-A155F,15 人
SM-A127F,15 人
ELE-L29,15 人
SM-A137F,15 人
SM-N986B,15 人
SM-A145R,15 人
Pixel 10 Pro XL,14 人
SM-A226B,14 人
24115RA8EG,14 人
MAR-LX1A,14 人
SM-A166B,14 人
25010PN30G,14 人
FCP-N49,14 人
SM-A217F,13 人
Pixel 6a,13 人
SM-A135F,13 人
2209116AG,13 人
SM-A146P,13 人
CPH2653,13 人
Redmi Note 8 Pro,13 人
23124RA7EO,13 人
"iPad13,16",12 人
24090RA29G,12 人
CPH2581,12 人
SM-A326B,12 人
SM-A165F,12 人
SM-G970F,12 人
SM-A325F,12 人
SM-N975F,12 人
"iPad8,6",12 人
23129RN51X,11 人
M2101K6G,11 人
SM-S937B,11 人
"iPad8,12",11 人
"iPad14,6",11 人
"iPhone10,1",11 人
23108RN04Y,11 人
2406APNFAG,11 人
Redmi Note 9 Pro,11 人
REA-NX9,11 人
22101316G,11 人
"iPad14,5",10 人
24129PN74G,10 人
SM-S918U1,10 人
"iPad14,1",10 人
SM-A556E,10 人
2107113SG,10 人
SM-A125F,10 人
SM-G525F,10 人
"iPhone10,3",10 人
"iPad11,6",10 人
2201117SY,10 人
SM-A505FN,10 人
"iPad13,1",9 人
SM-A405FN,9 人
M2007J3SG,9 人
SM-G985F,9 人
PTP-N49,9 人
Pixel 10 Pro,9 人
CPH2449,9 人
SM-A415F,9 人
SM-G960F,9 人
NE2213,9 人
2312DRAABG,9 人
"iPad8,11",9 人
BVL-N49,9 人
"iPad7,5",9 人
2211133G,9 人
SM-N960F,9 人
SM-F926B,9 人
"iPad8,5",9 人
"iPhone8,1",9 人
2306EPN60G,8 人
SM-A057G,8 人
24117RN76E,8 人
SM-A546E,8 人
SM-G986B,8 人
"iPad13,4",8 人
21081111RG,8 人
M2003J15SC,8 人
TECNO BF6,8 人
2409BRN2CY,8 人
IN2023,8 人
23021RAA2Y,8 人
23129RAA4G,8 人
2409BRN2CA,8 人
"iPad6,11",8 人
CPH2305,8 人
"iPad15,7",8 人
"iPad7,3",8 人
CPH2211,8 人
SM-A156B,8 人
"iPad7,11",8 人
TECNO KJ5,7 人
"iPad8,9",7 人
M2103K19G,7 人
220333QNY,7 人
2201117TY,7 人
"iPad13,6",7 人
2201123G,7 人
"iPad11,3",7 人
ELP-NX9,7 人
SM-A055F,7 人
M2102J20SG,7 人
CPH2173,7 人
M2012K11AG,7 人
"iPad8,1",7 人
"iPad16,6",7 人
2311DRK48G,7 人
SM-X210,7 人
SM-A047F,6 人
M2101K7BNY,6 人
A063,6 人
SM-A346E,6 人
2109119DG,6 人
SM-S908E,6 人
24116RACCG,6 人
21091116UG,6 人
SM-A366B,6 人
CLT-L29,6 人
"iPad13,8",6 人
SM-A526B,6 人
MBH-N49,6 人
CPH2207,6 人
A142,6 人
Pixel 9a,6 人
SM-S731B,6 人
Pixel 9 Pro Fold,6 人
XQ-DQ54,6 人
BRP-NX1M,6 人
SM-A725F,6 人
moto g54 5G,6 人
SM-A705FN,6 人
"iPad8,3",6 人
SM-S928U1,5 人
"iPad14,3",5 人
M2007J17G,5 人
RMX3890,5 人
CPH2609,5 人
"iPad15,5",5 人
SM-A145F,5 人
22081212UG,5 人
SM-X200,5 人
ALI-NX1,5 人
SM-S9280,5 人
motorola edge 50 fusion,5 人
"iPhone10,2",5 人
SM-N970F,5 人
24094RAD4G,5 人
"iPad16,4",5 人
TECNO KI5k,5 人
LE2123,5 人
TB330FU,5 人
Pixel 6 Pro,5 人
22101316UG,5 人
SM-A057F,5 人
"iPad14,10",5 人
"iPad16,3",5 人
"iPad7,2",5 人
Mi 10,5 人
CPH2637,5 人
SM-A136B,5 人
SM-G970U1,5 人
CPH2531,5 人
TECNO BG6,5 人
moto g84 5G,5 人
XQ-EC54,4 人
SM-S901E,4 人
2210132G,4 人
"iPad12,2",4 人
SM-N980F,4 人
"iPad8,7",4 人
SM-G715FN,4 人
CPH2415,4 人
M2007J20CG,4 人
SM-G965F,4 人
RMX3933,4 人
23049PCD8G,4 人
SM-T220,4 人
"iPad7,4",4 人
SM-M315F,4 人
SM-G556B,4 人
SM-N981B,4 人
2506BPN68G,4 人
SM-N950F,4 人
SM-S901U1,4 人
"iPad6,7",4 人
23124RN87G,4 人
"iPad8,10",4 人
SM-X510,4 人
"iPad13,10",4 人
V2332,4 人
SM-T733,4 人
NE2215,4 人
23021RAAEG,4 人
"iPhone8,2",4 人
SM-A032F,4 人
"iPhone9,4",4 人
Redmi Note 8T,4 人
24030PN60G,4 人
"iPad14,4",4 人
RMX3363,4 人
SM-X110,4 人
"iPad13,11",4 人
"iPad14,8",4 人
motorola edge 40 neo,4 人
SM-G973U1,4 人
24040RN64Y,4 人
SM-A426B,4 人
CPH2579,4 人
23053RN02Y,4 人
Infinix X6833B,4 人
VER-N49,4 人
M2011K2G,4 人
SM-S908U1,3 人
SM-A105FN,3 人
CPH2663,3 人
EML-L29,3 人
CPH2565,3 人
LYA-L29,3 人
motorola razr 50 ultra,3 人
CRT-LX3,3 人
FP5,3 人
V2124,3 人
TECNO KC8,3 人
"iPhone9,1",3 人
M1908C3JGG,3 人
TECNO BG6m,3 人
Redmi Note 8,3 人
RMX5061,3 人
2404ARN45A,3 人
Redmi Note 9S,3 人
SM-S916U1,3 人
SM-G950F,3 人
SM-G991U1,3 人
motorola edge 30 neo,3 人
"iPad17,4",3 人
STK-L21,3 人
SM-S938U1,3 人
CPH2557,3 人
SM-T830,3 人
A065,3 人
"iPad13,17",3 人
Mi Note 10,3 人
MAR-LX1B,3 人
TECNO CK7n,3 人
motorola edge 50 pro,3 人
CPH2145,3 人
SM-A266B,3 人
23106RN0DA,3 人
BRP-NX1,3 人
22126RN91Y,3 人
CMA-LX1,3 人
Pixel 5,3 人
SM-S906E,3 人
V2061,3 人
SM-A315G,3 人
V2029,3 人
CPH2251,3 人
SM-S921U1,3 人
RMX3710,3 人
AC2003,3 人
moto g34 5G,3 人
SM-S908U,3 人
moto g32,3 人
TECNO KI7,3 人
SM-G781U1,3 人
V2111,3 人
SM-T725,3 人
2201116PG,3 人
TECNO KM4,3 人
CPH2269,3 人
CPH2127,3 人
CPH2699,3 人
SM-A307FN,3 人
2303CRA44A,3 人
24069PC21G,3 人
KB2003,3 人
Infinix X680B,3 人
XQ-BT52,3 人
Redmi Note 7,3 人
SM-M127F,3 人
EML-L09,3 人
S62 Pro,3 人
SM-P613,3 人
DN2103,3 人
M2002J9G,3 人
XQ-CC54,3 人
SM-A750FN,3 人
Infinix X6526,3 人
PGT-N19,3 人
CPH2219,3 人
TB328FU,3 人
CPH2551,3 人
V2250,3 人
SM-G990E,3 人
SM-S9110,3 人
CPH2465,3 人
SM-A536E,3 人
GM1910,3 人
LLY-LX1,3 人
22111317G,3 人
RMX3630,3 人
TECNO KL4,3 人
TECNO LH7n,3 人
22120RN86G,3 人
RMX3771,3 人
SM-T500,3 人
23028RNCAG,3 人
SM-A202F,3 人
"iPad7,6",3 人
CPH2247,3 人
SM-N976B,3 人
XQ-BQ52,3 人
CRT-NX1,3 人
XQ-BC52,3 人
"iPad15,3",3 人
SM-S906U1,3 人
Mi 9T,3 人
RMO-NX3,2 人
ONEPLUS A5010,2 人
moto g23,2 人
CPH2025,2 人
24122RKC7G,2 人
CPH2307,2 人
"iPad14,9",2 人
21061119AG,2 人
V2043,2 人
SM-G781V,2 人
SM-T870,2 人
23053RN02A,2 人
POT-LX1,2 人
itel W5005,2 人
SM-A035F,2 人
moto g85 5G,2 人
SM-A042F,2 人
RMX3834,2 人
Pixel 4,2 人
SM-A037F,2 人
TECNO KG5k,2 人
BV4800,2 人
itel L6502,2 人
TECNO KL5,2 人
XQ-AS52,2 人
NE2211,2 人
moto g(30),2 人
SM-X610,2 人
ALT-NX1,2 人
M2006C3MNG,2 人
VNE-LX3,2 人
Pixel 3a,2 人
21121119SG,2 人
2212ARNC4L,2 人
itel P662L,2 人
Infinix X6528,2 人
TECNO CI6,2 人
SM-A908N,2 人
V2310,2 人
CPH2273,2 人
SM-X900,2 人
RMX2151,2 人
Core-X5,2 人
23043RP34G,2 人
2412DPC0AG,2 人
ABR-NX1,2 人
XQ-CQ54,2 人
SM-G981U1,2 人
M2006C3MG,2 人
CPH2493,2 人
Mi 10 Pro,2 人
A059,2 人
CPH2095,2 人
SM-A336E,2 人
SM-X520,2 人
SM-N981N,2 人
GRL-LX9,2 人
CPH2591,2 人
RMX1971,2 人
SM-S9210,2 人
ThinkPhone by motorola,2 人
SM-J530F,2 人
2410FPCC5G,2 人
V2338,2 人
Infinix X6837,2 人
SM-M326B,2 人
XQ-AT51,2 人
CPH2529,2 人
TECNO CK6n,2 人
TECNO KD7,2 人
23030RAC7Y,2 人
RMX3840,2 人
YAL-L21,2 人
2304FPN6DG,2 人
RMX3741,2 人
"iPad11,1",2 人
itel A665L,2 人
LLY-NX1,2 人
CPH2577,2 人
NDL-W09,2 人
M2004J19C,2 人
CPH2583,2 人
Infinix X693,2 人
M2101K9G,2 人
moto g52,2 人
SM-X810,2 人
SM-T865,2 人
CPH1937,2 人
Mi Note 10 Lite,2 人
M2101K7AG,2 人
MI 8,2 人
Pixel 4a (5G),2 人
RMX3760,2 人
Mi 9 SE,2 人
"iPad16,1",2 人
XQ-ES54,2 人
STK-LX3,2 人
SM-T736B,2 人
2409BRN2CL,2 人
Mi 9T Pro,2 人
HMA-L29,2 人
SM-X205,2 人
25099RP13G,2 人
SM-A505F,2 人
RMX3950,2 人
2201116TG,2 人
Fire 6 Max,2 人
CPH2617,2 人
TECNO CK6,2 人
SM-G736B,2 人
23073RPBFG,2 人
SM-G398FN,2 人
SM-G781U,2 人
Infinix X6511B,2 人
LYA-L09,2 人
M2007J3SY,2 人
motorola razr 60 ultra,2 人
TFY-LX1,2 人
RMX3085,2 人
