"label","value"
"iPhone17,2",7734 人
"iPhone16,2",6203 人
"iPhone17,1",5418 人
"iPhone16,1",4121 人
"iPhone15,3",3436 人
"iPhone14,3",2515 人
"iPhone15,2",2512 人
"iPhone14,5",2046 人
"iPhone14,7",1978 人
"iPhone15,4",1789 人
"iPhone18,2",1711 人
"iPhone14,2",1636 人
"iPhone17,3",1378 人
"iPhone18,1",1154 人
"iPhone13,4",1125 人
SM-S928U,1026 人
"iPhone13,2",863 人
SM-S918U,857 人
"iPhone14,8",717 人
"iPhone12,1",703 人
SM-S938U,672 人
"iPhone13,3",607 人
SM-S908U,566 人
"iPhone15,5",564 人
"iPhone17,4",516 人
SM-S926U,353 人
SM-S928U1,325 人
"iPhone12,5",300 人
Pixel 9 Pro XL,297 人
"iPhone14,4",295 人
SM-S901U,290 人
SM-S916U,287 人
"iPhone11,8",286 人
SM-S911U,271 人
"iPhone18,4",262 人
Pixel 8 Pro,254 人
SM-S936U,231 人
SM-S938U1,231 人
"iPhone17,5",231 人
"iPhone14,6",223 人
SM-S921U,223 人
SM-S906U,217 人
"iPhone12,3",192 人
"iPhone13,1",191 人
SM-G998U,187 人
Pixel 7 Pro,180 人
SM-G991U,179 人
SM-F956U,173 人
Pixel 9 Pro,166 人
SM-S918U1,156 人
SM-F956U1,144 人
SM-S931U,141 人
SM-F946U,137 人
"iPhone12,8",136 人
Pixel 7,133 人
"iPhone11,6",118 人
"iPhone18,3",116 人
Pixel 8,116 人
SM-F966U,115 人
SM-F966U1,115 人
SM-G996U,109 人
SM-F936U,103 人
SM-N986U,94 人
Pixel 10 Pro XL,93 人
SM-F741U,89 人
SM-F731U,87 人
SM-S908U1,86 人
Pixel 9 Pro Fold,80 人
"iPad13,18",74 人
Pixel 6,73 人
Pixel 9,71 人
SM-F946U1,70 人
Pixel 6 Pro,70 人
SM-G781U,68 人
"iPad16,5",66 人
SM-S721U,65 人
SM-S711U,62 人
"iPhone11,2",61 人
SM-S928W,59 人
"iPad12,1",56 人
SM-S926U1,54 人
SM-N975U,51 人
SM-F926U,49 人
"iPad16,6",49 人
SM-G986U,48 人
SM-G781V,45 人
SM-G998U1,43 人
Pixel 10 Pro,42 人
SM-S918B,42 人
"iPad14,5",41 人
"iPhone10,5",41 人
SM-G975U,41 人
Pixel 8a,40 人
"iPad15,7",40 人
SM-F741U1,39 人
SM-S918W,39 人
Pixel 7a,38 人
Pixel 6a,38 人
SM-S928B,37 人
SM-G990U2,36 人
"iPad14,1",35 人
SM-S938W,35 人
SM-G990U,34 人
SM-G973U,33 人
SM-F766U,33 人
SM-A156U,32 人
"iPhone10,2",32 人
SM-F936U1,32 人
Pixel Fold,32 人
SM-G988U,32 人
SM-S916U1,32 人
SM-N960U,31 人
SM-N986U1,31 人
SM-A536U,31 人
"iPad8,11",31 人
"iPad13,16",31 人
SM-G960U,30 人
"iPad7,5",29 人
SM-S937U,29 人
SM-S921W,29 人
"iPad13,8",29 人
SM-S901U1,29 人
SM-G965U,28 人
"iPhone10,3",28 人
"iPad13,10",28 人
SM-S921U1,27 人
"iPad11,6",27 人
SM-N981U,27 人
SM-F711U,27 人
"iPad16,3",27 人
SM-F721U,27 人
"iPad14,3",27 人
motorola edge 5G UW (2021),27 人
"iPad13,4",26 人
SM-A146U,26 人
"iPhone10,1",26 人
SM-A326U,25 人
"iPad8,6",25 人
SM-G970U,25 人
"iPad13,1",24 人
SM-S906U1,24 人
Pixel 9a,24 人
motorola edge plus 5G UW (2022),24 人
moto g 5G - 2024,23 人
SM-A546U,23 人
SM-S911U1,23 人
"iPad14,6",23 人
"iPad13,19",22 人
SM-G991U1,22 人
"iPad12,2",22 人
"iPad14,8",22 人
SM-S936U1,21 人
SM-S901W,21 人
SM-F731U1,21 人
SM-S911W,21 人
"iPad16,4",21 人
SM-G981U,21 人
"iPad16,1",21 人
moto g stylus 5G - 2024,20 人
"iPad14,4",20 人
SM-G781U1,20 人
moto g - 2025,20 人
SM-G781W,19 人
"iPhone10,4",19 人
"iPad13,6",19 人
SM-S931U1,18 人
SM-S921B,18 人
CPH2551,18 人
SM-A546E,18 人
SM-S908W,18 人
"iPad13,17",17 人
SM-A136U,17 人
"iPad7,3",17 人
"iPad8,12",17 人
SM-S938B,17 人
CPH2655,16 人
SM-A166U,16 人
"iPad7,11",16 人
Pixel 10 Pro Fold,16 人
"iPad6,11",16 人
moto g 5G (2022),15 人
SM-S721W,15 人
SM-S926W,15 人
"iPhone9,2",15 人
"iPhone10,6",15 人
SM-A546U1,15 人
SM-A426U,15 人
"iPad14,10",14 人
SM-A556E,14 人
"iPad15,8",14 人
SM-S721U1,14 人
"iPad8,5",14 人
SM-A156U1,14 人
motorola razr 2024,14 人
motorola razr plus 2023,14 人
moto g stylus 5G - 2023,13 人
"iPad8,9",13 人
SM-G975U1,13 人
SM-F956W,13 人
SM-F926U1,13 人
SM-S931W,13 人
moto g 5G - 2023,13 人
motorola edge (2022),13 人
"iPad13,11",12 人
SM-N970U,12 人
"iPad15,3",12 人
"iPad8,1",12 人
"iPad11,1",12 人
moto g power 5G - 2024,12 人
motorola edge 2024,11 人
CPH2583,11 人
motorola razr ultra 2025,11 人
moto g play - 2024,11 人
SM-A526U,11 人
moto g stylus 5G,11 人
SM-G981V,11 人
"iPad11,3",11 人
SM-N950U,11 人
"iPad14,2",11 人
SM-G996U1,11 人
"iPad8,7",11 人
SM-A356E,11 人
SM-S731U,11 人
SM-F766U1,10 人
SM-X200,10 人
motorola razr plus 2024,10 人
moto g stylus 5G (2022),10 人
"iPad13,2",10 人
SM-A546V,10 人
"iPad6,3",10 人
SM-G991W,10 人
